site_id,capture_date,survey_year,period_id,pit_tag_id,swab_id,bd_load
70550,2007-07-01,2007,2.3.1,91021044,RKS4958,0
70550,2007-07-01,2007,2.3.1,91022277,RKS4954,36384
70550,2007-07-01,2007,2.3.1,91120768,RKS4961,1296
70550,2007-07-01,2007,2.3.1,91315561,RKS4956,0
70550,2007-07-01,2007,2.3.1,91320558,RKS4953,912
70550,2007-07-01,2007,2.3.1,91344771,RKS4959,528
70550,2007-07-01,2007,2.3.1,91550049,RKS4968,624
70550,2007-07-01,2007,2.3.1,91573095,RKS4955,1680
70550,2007-07-01,2007,2.3.1,118001060333,RKS4957,1248
70550,2007-07-06,2007,2.4.1,91072047,RKS3846,4368
70550,2007-07-06,2007,2.4.1,91575537,RKS3985,1680
70550,2007-07-31,2007,2.5.1,62374570,RKS5880,0
70550,2007-07-31,2007,2.5.1,91022277,RKS5879,2208
70550,2007-07-31,2007,2.5.1,91120768,RKS5878,24768
70550,2007-07-31,2007,2.5.1,91318870,RKS5894,2448
70550,2007-07-31,2007,2.5.1,91320558,RKS5895,20880
70550,2007-07-31,2007,2.5.1,91356534,RKS5886,22704
70550,2007-07-31,2007,2.5.1,91530379,RKS5881,768
70550,2007-07-31,2007,2.5.1,91550049,RKS5891,32448
70550,2007-07-31,2007,2.5.1,91575537,RKS5893,4464
70550,2007-07-31,2007,2.5.1,118001060333,RKS5892,99456
70550,2007-09-02,2007,2.6.1,91110803,RKS5976,11664
70550,2007-09-02,2007,2.6.1,91571769,RKS5975,6240
70550,2008-06-28,2008,3.1.1,91318870,RKS6184,NA
70550,2008-07-16,2008,3.2.1,80045779,RKS6451,0
70550,2008-07-16,2008,3.2.1,91021044,RKS6433,144
70550,2008-07-16,2008,3.2.1,91072047,RKS6450,672
70550,2008-07-16,2008,3.2.1,91315561,RKS6434,96
70550,2008-07-16,2008,3.2.1,91344771,RKS6435,1200
70550,2008-07-16,2008,3.2.1,91550049,RKS6424,7200
70550,2008-07-16,2008,3.2.1,91573095,RKS6436,26688
70550,2008-07-28,2008,3.3.1,62374570,RKS6695,240
70550,2008-07-28,2008,3.3.1,80045779,RKS6692,384
70550,2008-07-28,2008,3.3.1,91315561,RKS6689,1392
70550,2008-07-28,2008,3.3.1,91550049,RKS6690,12288
70550,2008-07-28,2008,3.3.1,91575537,RKS6688,9024
70550,2008-08-21,2008,3.4.1,62374570,RKS6904,94176
70550,2008-08-21,2008,3.4.1,91021044,RKS6900,0
70550,2008-08-21,2008,3.4.1,91315561,RKS6901,912
70550,2008-08-21,2008,3.4.1,91318870,RKS6889,4128
70550,2008-08-21,2008,3.4.1,91550049,RKS6883,816
70550,2008-09-07,2008,3.5.1,90873349,RKS7230,336
70550,2008-09-07,2008,3.5.1,91021044,RKS7227,48960
70550,2008-09-07,2008,3.5.1,91344771,RKS7224,11424
70550,2009-07-06,2009,4.1.1,118001058990,RKS7706,0
70550,2009-07-24,2009,4.2.1,91318870,RKS7738,864.48
70550,2009-07-24,2009,4.2.1,91336278,RKS7739,7837.92
70550,2009-09-01,2009,4.3.1,91021044,RKS8667,3968.64
70550,2009-09-01,2009,4.3.1,91336278,RKS8658,NA
70550,2009-09-01,2009,4.3.1,91550049,RKS8668,137.28
70550,2009-09-15,2009,4.4.1,80045779,RKS9334,11471.52
70550,2009-09-15,2009,4.4.1,91072047,RKS9331,46.56
70550,2009-09-15,2009,4.4.1,91318870,RKS9330,7327.68
70550,2009-09-15,2009,4.4.1,118001058990,RKS9333,1732.32
70550,2010-07-20,2010,5.1.1,91021044,RKS9959,188.16
70550,2010-08-13,2010,5.2.1,118001058990,RKS10766,26086.56
70550,2010-09-07,2010,5.3.1,91344771,RKS11895,2248.32
70550,2010-09-07,2010,5.3.1,985121013711006,RKS11894,2091.36
70550,2010-09-07,2010,5.3.1,985121013713983,RKS12002,0
70550,2010-09-07,2010,5.3.1,985121019062014,RKS11882,48966.72
70550,2010-09-07,2010,5.3.1,985121019093915,RKS12009,916.8
70550,2010-09-07,2010,5.3.1,985121019093988,RKS11881,968.64
70550,2011-08-20,2011,6.1.1,91021044,RKS13004,0
70550,2012-06-16,2012,7.1.1,118001058990,RKS13586,16161.19
70550,2012-06-16,2012,7.1.1,118001060333,RKS13956,35367.35
70550,2012-07-15,2012,7.2.1,91021044,RKS14748,1798.03
70550,2012-07-15,2012,7.2.1,118001058990,RKS14747,11666.03
70550,2012-07-15,2012,7.2.1,118001060333,RKS14749,13.24
70550,2012-08-29,2012,7.3.1,118001058990,RKS15270,110279.42
70550,2012-08-29,2012,7.3.1,985121013711006,RKS15276,21528.31
70550,2012-08-29,2012,7.3.1,985121019050588,RKS15277,30742.14
70550,2012-08-29,2012,7.3.1,985121019062559,RKS15281,3423.2
70550,2012-08-29,2012,7.3.1,985121019077514,RKS15282,179329.68
70550,2012-08-29,2012,7.3.1,985121019103103,RKS15279,65247.79
70550,2013-06-28,2013,8.1.1,118001031085,RKS15876,32.97
70550,2013-06-28,2013,8.1.1,118001031467,RKS15890,887.46
70550,2013-06-28,2013,8.1.1,118001058802,RKS15887,1279.01
70550,2013-06-28,2013,8.1.1,118001058971,RKS15896,176.86
70550,2013-06-28,2013,8.1.1,118001058990,RKS15893,7371.12
70550,2013-06-28,2013,8.1.1,118001059380,RKS15879,133.58
70550,2013-06-28,2013,8.1.1,118001060333,RKS15886,6966
70550,2013-06-28,2013,8.1.1,118001060518,RKS15898,1802.54
70550,2013-06-28,2013,8.1.1,118001061228,RKS15897,920.36
70550,2013-06-28,2013,8.1.1,118001066065,RKS15889,360.51
70550,2013-06-28,2013,8.1.1,121013711006,RKS15885,3987.9
70550,2013-06-28,2013,8.1.1,121019094637,RKS15880,2711.17
70550,2013-07-23,2013,8.2.1,118001029814,USGS1010,0
70550,2013-07-23,2013,8.2.1,118001030025,USGS1011,0
70550,2013-07-23,2013,8.2.1,118001030093,USGS1003,2597.34
70550,2013-07-23,2013,8.2.1,118001030163,USGS1000,46044.34
70550,2013-07-23,2013,8.2.1,118001030750,USGS1014,281.95
70550,2013-07-23,2013,8.2.1,118001031196,USGS1012,0
70550,2013-07-23,2013,8.2.1,118001031348,USGS1004,15123.46
70550,2013-07-23,2013,8.2.1,118001057579,USGS1001,0
70550,2013-07-23,2013,8.2.1,118001059003,USGS1005,0
70550,2013-07-23,2013,8.2.1,118001059380,USGS1007,27.62
70550,2013-07-23,2013,8.2.1,118001059949,USGS1006,0
70550,2013-07-23,2013,8.2.1,118001061228,USGS1017,0
70550,2013-07-23,2013,8.2.1,118001067329,USGS1013,447.6
70550,2013-07-23,2013,8.2.1,121019062559,USGS1002,0
70550,2013-07-23,2013,8.2.1,121019091883,USGS1016,0
70550,2013-07-23,2013,8.2.1,121019093988,USGS1008,0
70550,2013-07-24,2013,8.2.2,118001058971,USGS1021,0
70550,2013-07-24,2013,8.2.2,118001065754,USGS1018,830.92
70550,2013-07-24,2013,8.2.2,121019077514,USGS1020,36.2
70550,2013-07-24,2013,8.2.2,121019094637,USGS1019,78.34
70550,2013-07-26,2013,8.2.3,118001029814,USGS1588,49140.48
70550,2013-07-26,2013,8.2.3,118001030025,USGS1576,7478.98
