time,date,temp_c
1e3,2006-06-01,15.555555555555555
1100,2006-06-01,15.555555555555555
1200,2006-06-01,15
1300,2006-06-01,15
1400,2006-06-01,15
1500,2006-06-01,15
1e3,2006-06-02,11.11111111111111
1100,2006-06-02,13.333333333333334
1200,2006-06-02,12.777777777777779
1300,2006-06-02,13.333333333333334
1400,2006-06-02,14.444444444444445
1500,2006-06-02,13.333333333333334
1e3,2006-06-03,14.444444444444445
1100,2006-06-03,13.333333333333334
1200,2006-06-03,16.666666666666668
1300,2006-06-03,16.666666666666668
1400,2006-06-03,17.77777777777778
1500,2006-06-03,18.333333333333332
1e3,2006-06-04,10
1100,2006-06-04,11.666666666666666
1200,2006-06-04,13.333333333333334
1300,2006-06-04,13.333333333333334
1400,2006-06-04,13.88888888888889
1500,2006-06-04,14.444444444444445
1e3,2006-06-05,16.666666666666668
1100,2006-06-05,17.77777777777778
1200,2006-06-05,18.333333333333332
1300,2006-06-05,19.444444444444443
1400,2006-06-05,18.88888888888889
1500,2006-06-05,18.88888888888889
1e3,2006-06-06,18.88888888888889
1100,2006-06-06,18.88888888888889
1200,2006-06-06,19.444444444444443
1300,2006-06-06,18.88888888888889
1400,2006-06-06,17.77777777777778
1500,2006-06-06,18.88888888888889
1e3,2006-06-07,NA
1100,2006-06-07,NA
1200,2006-06-07,NA
1300,2006-06-07,15
1400,2006-06-07,15.555555555555555
1500,2006-06-07,12.777777777777779
1e3,2006-06-08,11.666666666666666
1100,2006-06-08,13.333333333333334
1200,2006-06-08,13.333333333333334
1300,2006-06-08,12.777777777777779
1400,2006-06-08,13.333333333333334
1500,2006-06-08,12.777777777777779
1e3,2006-06-09,11.666666666666666
1100,2006-06-09,11.666666666666666
1200,2006-06-09,11.666666666666666
1300,2006-06-09,12.777777777777779
1400,2006-06-09,12.222222222222221
1500,2006-06-09,12.777777777777779
1e3,2006-06-10,13.333333333333334
1100,2006-06-10,13.333333333333334
1200,2006-06-10,14.444444444444445
1300,2006-06-10,15
1400,2006-06-10,14.444444444444445
1500,2006-06-10,14.444444444444445
1e3,2006-06-11,13.333333333333334
1100,2006-06-11,13.88888888888889
1200,2006-06-11,13.88888888888889
1300,2006-06-11,13.88888888888889
1400,2006-06-11,14.444444444444445
1500,2006-06-11,14.444444444444445
1e3,2006-06-12,10.555555555555555
1100,2006-06-12,10.555555555555555
1200,2006-06-12,11.11111111111111
1300,2006-06-12,11.666666666666666
1400,2006-06-12,11.666666666666666
1500,2006-06-12,11.11111111111111
1e3,2006-06-13,5
1100,2006-06-13,5
1200,2006-06-13,NA
1300,2006-06-13,6.111111111111111
1400,2006-06-13,5
1500,2006-06-13,5
1e3,2006-06-14,5.555555555555555
1100,2006-06-14,6.111111111111111
1200,2006-06-14,7.222222222222222
1300,2006-06-14,7.777777777777778
1400,2006-06-14,8.333333333333334
1500,2006-06-14,7.777777777777778
1e3,2006-06-15,8.88888888888889
1100,2006-06-15,10
1200,2006-06-15,11.11111111111111
1300,2006-06-15,11.666666666666666
1400,2006-06-15,12.222222222222221
1500,2006-06-15,12.777777777777779
1e3,2006-06-16,10
1100,2006-06-16,11.11111111111111
